year,artist,title
1973,Daddy’s Home Jermaine Jackson,44
1973,Neither One of Us (Wants to Be the First to Say Goodbye) Gladys Knight & the Pips,45
1973,I’m Doin’ Fine Now New York City,46
1973,Could It Be I’m Falling in Love The Spinners,47
1973,Daniel Elton John,48
1973,Midnight Train to Georgia Gladys Knight & the Pips,49
1973,Smoke on the Water Deep Purple,50
1973,The Cover of the Rolling Stone Dr. Hook & The Medicine Show,51
1973,Behind Closed Doors Charlie Rich,52
1973,Your Mama Don’t Dance Loggins and Messina,53
1973,Feelin’ Stronger Every Day Chicago,54
1973,The Cisco Kid War,55
1973,Live and Let Die Paul McCartney & Wings,56
1973,"Oh, Babe, What Would You Say? Hurricane Smith",57
1973,I Believe in You (You Believe in Me) Johnnie Taylor,58
1973,Sing The Carpenters,59
1973,Ain’t No Woman (Like the One I’ve Got) The Four Tops,60
1973,Dueling Banjos Eric Weissberg & Steve Mandell,61
1973,Higher Ground Stevie Wonder,62
1973,Here I Am (Come and Take Me) Al Green,63
1973,My Maria B.W. Stevenson,64
1973,Superfly Curtis Mayfield,65
1973,ArizonaLast Song Edward Bear,66
1973,Get Down Gilbert O’Sullivan,67
1973,Reelin’ in the Years Steely Dan,68
1973,Hocus Pocus Focus,69
1973,Yesterday Once More The Carpenters,70
1973,Boogie Woogie Bugle Boy Bette Midler,71
1973,Clair Gilbert O’Sullivan,72
1973,Do It Again Steely Dan,73
1973,Kodachrome Paul Simon,74
1973,Why Can’t We Live Together Timmy Thomas,75
1973,Do You Wanna Dance? Bette Midler,76
1973,So Very Hard to Go Tower of Power,77
1973,Rockin’ Pneumonia and the Boogie Woogie Flu Johnny Rivers,78
1973,Ramblin’ Man The Allman Brothers Band,79
1973,Masterpiece The Temptations,80
1973,Peaceful Helen Reddy,81
1973,One of a Kind (Love Affair) The Spinners,82
1973,Funny Face Donna Fargo,83
1973,Funky Worm Ohio Players,84
1973,Angie The Rolling Stones,85
1973,Jambalaya (On the Bayou) Blue Ridge Rangers,86
1973,Don’t Expect Me to Be Your Friend Lobo,87
1973,Break Up to Make Up The Stylistics,88
1973,Daisy a Day Jud Strunk,89
1973,Also Sprach Zarathustra (2001) Deodato,90
1973,Stir It Up Johnny Nash,91
1973,Money Pink Floyd,92
1973,Gypsy Man War,93
1973,The World Is a Ghetto War,94
1973,Yes We Can Can The Pointer Sisters,95
1973,Free Ride The Edgar Winter Group,96
1973,Space Oddity David Bowie,97
1973,It Never Rains in Southern California Albert Hammond,98
1973,The Twelfth of Never Donny Osmond,99
1973,Papa Was a Rollin’ Stone The Temptations,100
1973,Stevie Wonder,There are two acts with the most entries. Each of these acts has a total of three entries in the top songs of 1973 :
1973,Tie a Yellow Ribbon Round the Ole Oak Tree,Top Songs of 1973
1973,"Bad, Bad Leroy Brown",Tony Orlando and Dawn
1973,Killing Me Softly with His Song,Jim Croce
1973,Let’s Get It On,Roberta Flack
1973,My Love,Marvin Gaye
1973,Why Me,Paul McCartney & Wings
1973,Crocodile Rock,Kris Kristofferson
1973,Will It Go Round in Circles,Elton John
1974,One Hell of a Woman Mac Davis,10
1974,Until You Come Back to Me (That’s What I’m Gonna Do) Aretha Franklin,11
1974,Jungle Boogie Kool & the Gang,12
1974,Midnight at the Oasis Maria Muldaur,13
1974,You Make Me Feel Brand New The Stylistics,14
1974,Show and Tell Al Wilson,15
1974,Spiders and Snakes Jim Stafford,16
1974,Rock On David Essex,17
1974,Sunshine on My Shoulders John Denver,18
1974,Sideshow Blue Magic,19
1974,Hooked on a Feeling Blue Swede,20
1974,Billy Don’t Be a Hero Bo Donaldson and The Heywoods,21
1974,Band on the Run Paul McCartney and Wings,22
1974,The Most Beautiful Girl Charlie Rich,23
1974,Time in a Bottle Jim Croce,24
1974,Annie’s Song John Denver,25
1974,Let Me Be There Olivia Newton-John,26
1974,Sundown Gordon Lightfoot,27
1974,(You’re) Having My Baby Paul Anka,28
1974,Rock Me Gently Andy Kim,29
1974,Boogie Down Eddie Kendricks,30
1974,You’re Sixteen Ringo Starr,31
1974,If You Love Me (Let Me Know) Olivia Newton-John,32
1974,Dark Lady Cher,33
1974,Best Thing That Ever Happened to Me Gladys Knight & the Pips,34
1974,Feel Like Makin’ Love Roberta Flack,35
1974,Just Don’t Want to Be Lonely The Main Ingredient,36
1974,Nothing from Nothing Billy Preston,37
1974,Rock Your Baby George McCrae,38
1974,Top of the World The Carpenters,39
1974,The Joker Steve Miller Band 41 I’ve Got to Use My Imagination Gladys Knight & the Pips,40
1974,The Show Must Go On Three Dog Night,42
1974,Rock the Boat The Hues Corporation,43
1974,Smokin’ in the Boys Room Brownsville Station,44
1974,Living for the City Stevie Wonder,45
1974,The Night Chicago Died Paper Lace,46
1974,Then Came You Dionne Warwick & The Spinners,47
1974,The Entertainer Marvin Hamlisch,48
1974,Waterloo ABBA,49
1974,The Air That I Breathe The Hollies,50
1974,Rikki Don’t Lose That Number Steely Dan,51
1974,Mockingbird Carly Simon & James Taylor,52
1974,Help Me Joni Mitchell,53
1974,You Won’t See Me Anne Murray,54
1974,"Never, Never Gonna Give You Up Barry White",55
1974,Tell Me Something Good Rufus & Chaka Khan,56
1974,You and Me Against the World Helen Reddy,57
1974,Rock and Roll Heaven The Righteous Brothers,58
1974,Hollywood Swinging Kool & the Gang,59
1974,Be Thankful for What You Got William DeVaughn,60
1974,Hang on in There Baby Johnny Bristol,61
1974,Eres tú Mocedades,62
1974,Takin’ Care of Business Bachman-Turner Overdrive,63
1974,Radar Love Golden Earring,64
1974,Please Come to Boston Dave Loggins,65
1974,Keep On Smilin’ Wet Willie,66
1974,Lookin’ for a Love Bobby Womack,67
1974,Put Your Hands Together The O’Jays,68
1974,On and On Gladys Knight & the Pips,69
1974,Oh Very Young Cat Stevens,70
1974,Leave Me Alone (Ruby Red Dress) Helen Reddy,71
1974,Goodbye Yellow Brick Road Elton John,72
1974,(I’ve Been) Searchin’ So Long Chicago,73
1974,Oh My My Ringo Starr,74
1974,For the Love of Money The O’Jays,75
1974,I Shot the Sheriff Eric Clapton,76
1974,Jet Paul McCartney and Wings,77
1974,Don’t Let the Sun Go Down on Me Elton John,78
1974,Tubular Bells Mike Oldfield,79
1974,A Love Song Anne Murray,80
1974,I’m Leaving It Up to You Donny and Marie Osmond,81
1974,Hello It’s Me Todd Rundgren,82
1974,I Love Tom T. Hall,83
1974,Clap for the Wolfman The Guess Who featuring Wolfman Jack,84
1974,I’ll Have to Say I Love You in a Song Jim Croce,85
1974,The Lord’s Prayer Sister Janet Mead,86
1974,Trying To Hold On To My Woman Lamont Dozier,87
1974,Don’t You Worry ’bout a Thing Stevie Wonder,88
1974,A Very Special Love Song Charlie Rich,89
1974,My Girl Bill Jim Stafford,90
1974,Helen Wheels Paul McCartney and Wings,91
1974,My Mistake (Was to Love You) Diana Ross & Marvin Gaye,92
1974,Wildwood Weed Jim Stafford,93
1974,Beach Baby The First Class,94
1974,Me and Baby Brother War,95
1974,Rockin’ Roll Baby The Stylistics,96
1974,I Honestly Love You Olivia Newton-John,97
1974,Call on Me Chicago,98
1974,Wild Thing Fancy,99
1974,Mighty Love The Spinners,100
1974,John,Olivia Newton
1974,Elton John,There are five acts with the most entries. Each of these acts has a total of three entries in the top songs of 1974 :
1974,Jim Stafford,Gladys Knight & the Pips
1974,John,Olivia Newton
1974,The Way We Were,Top Songs of 1974
1974,Seasons in the Sun,Barbra Streisand
1974,Love’s Theme,Terry Jacks
1974,Come and Get Your Love,Love Unlimited Orchestra
1974,Dancing Machine,Redbone
1974,The Loco-Motion,The Jackson 5
1975,Thank God I’m a Country Boy John Denver,10
1975,Jive Talkin’ Bee Gees,11
1975,Best of My Love Eagles,12
1975,Lovin’ You Minnie Riperton,13
1975,Kung Fu Fighting Carl Douglas,14
1975,Black Water The Doobie Brothers,15
1975,The Ballroom Blitz Sweet,16
1975,(Hey Won’t You Play) Another Somebody Done Somebody Wrong Song B.J. Thomas,17
1975,He Don’t Love You (Like I Love You) Tony Orlando and Dawn,18
1975,He Don’t Love You (Like I Love You) Tony Orlando and Dawn,19
1975,Pick Up the Pieces Average White Band,20
1975,The Hustle Van McCoy & the Soul City Symphony,21
1975,Lady Marmalade Labelle,22
1975,Why Can’t We Be Friends War,23
1975,Love Won’t Let Me Wait Major Harris,24
1975,Boogie On Reggae Woman Stevie Wonder,25
1975,Wasted Days and Wasted Nights Freddy Fender,26
1975,Fight the Power The Isley Brothers,27
1975,Angie Baby Helen Reddy,28
1975,Jackie Blue Ozark Mountain Daredevils,29
1975,Fire Ohio Players,30
1975,Magic Pilot,31
1975,Please Mr. Postman The Carpenters,32
1975,Sister Golden Hair America,33
1975,Lucy in the Sky with Diamonds Elton John,34
1975,Mandy Barry Manilow,35
1975,Have You Never Been Mellow Olivia Newton-John,36
1975,Could It Be Magic Barry Manilow,37
1975,Cat’s in the Cradle Harry Chapin,38
1975,Wildfire Michael Martin Murphey,39
1975,I’m Not Lisa Jessi Colter,40
1975,Listen to What the Man Said Wings,41
1975,I’m Not in Love 10cc,42
1975,I Can Help Billy Swan,43
1975,"Fallin’ in Love Hamilton, Joe Frank & Reynolds",44
1975,Feelings Morris Albert,45
1975,Chevy Van Sammy Johns,46
1975,When Will I Be Loved Linda Ronstadt,47
1975,"You’re the First, the Last, My Everything Barry White",48
1975,Please Mr. Please Olivia Newton-John,49
1975,You’re No Good Linda Ronstadt,50
1975,Dynomite Bazuka,51
1975,Walking in Rhythm The Blackbyrds,52
1975,The Way We Were/Try to Remember Gladys Knight & the Pips,53
1975,Midnight Blue Melissa Manchester,54
1975,"Don’t Call Us, We’ll Call You Sugarloaf",55
1975,Poetry Man Phoebe Snow,56
1975,How Long? Ace,57
1975,Express B.T. Express,58
1975,"That’s the Way of the World Earth, Wind & Fire",59
