year,rank,artist,title,chart
1973,66,Why Can’t We Live Together Timmy Thomas,75,Top40Weekly Top 100
1973,67,Do You Wanna Dance? Bette Midler,76,Top40Weekly Top 100
1973,68,So Very Hard to Go Tower of Power,77,Top40Weekly Top 100
1973,69,Rockin’ Pneumonia and the Boogie Woogie Flu Johnny Rivers,78,Top40Weekly Top 100
1973,70,Ramblin’ Man The Allman Brothers Band,79,Top40Weekly Top 100
1973,71,Masterpiece The Temptations,80,Top40Weekly Top 100
1973,72,Peaceful Helen Reddy,81,Top40Weekly Top 100
1973,73,One of a Kind (Love Affair) The Spinners,82,Top40Weekly Top 100
1973,74,Funny Face Donna Fargo,83,Top40Weekly Top 100
1973,75,Funky Worm Ohio Players,84,Top40Weekly Top 100
1973,76,Angie The Rolling Stones,85,Top40Weekly Top 100
1973,77,Jambalaya (On the Bayou) Blue Ridge Rangers,86,Top40Weekly Top 100
1973,78,Don’t Expect Me to Be Your Friend Lobo,87,Top40Weekly Top 100
